iteration,suite,latency_ms,latency_ns,ciphertext_size,public_key_size,success,encap_variance,label,anomaly_type,rf_raw_probability,anomaly_score
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,15.789400000358,15789500,1088,1184,True,0.0,0,normal,0.0,0.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,15.648300002794713,15648200,1088,1184,True,0.0,0,normal,0.01,0.005
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,71.68039999669418,71682000,1088,1184,True,0.0,1,anomaly_detected,0.99,1.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,26.122199997189455,26123300,1088,1184,True,0.0,0,normal,0.0,0.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,20.60899999924004,20610000,1088,1184,True,0.0,0,normal,0.0,0.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,20.380700007081032,20380700,1088,1184,True,0.0,0,normal,0.0,0.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,18.45949998823926,18459400,1088,1184,True,0.0,0,normal,0.0,0.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,24.672200001077726,24672400,1088,1184,True,0.0,0,normal,0.0,0.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,19.58599999488797,19586200,1088,1184,True,0.0,0,normal,0.0,0.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,22.19390000391286,22193700,1088,1184,True,0.0,0,normal,0.0,0.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,22.047300008125603,22047800,1088,1184,True,0.0,0,normal,0.0,0.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,22.38700000452809,22387100,1088,1184,True,0.0,0,normal,0.0,0.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,81.45169999625068,81452100,1088,1184,True,0.0,1,anomaly_detected,0.97,1.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,22.044800003641285,22044800,1088,1184,True,0.0,0,normal,0.0,0.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,23.757200004183687,23758600,1088,1184,True,0.0,0,normal,0.0,0.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,26.19179998873733,26191100,1088,1184,True,0.0,0,normal,0.0,0.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,20.774500007973984,20776800,1088,1184,True,0.0,0,normal,0.0,0.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,18.900199997005984,18900200,1088,1184,True,0.0,0,normal,0.0,0.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,21.71970000199508,21719000,1088,1184,True,0.0,0,normal,0.0,0.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,23.84990001155529,23850200,1088,1184,True,0.0,0,normal,0.0,0.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,20.605700003216043,20605700,1088,1184,True,0.0,0,normal,0.0,0.0
1,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,24.532800001907162,24531900,1088,1184,True,0.0,0,normal,0.0,0.0
58,TLS_X25519_ML_KEM_768_WITH_AES_256_GCM_SHA3_256,50.88749999413267,50886800,1088,1184,True,0.0,1,anomaly_detected,1.0,1.0
